DAY,NUMBER_OF_ALL_ANIMALS,NUMBER_OF_LIVING_ANIMALS,FIELD_WITH_GRASS,FREE_FIELDS,MOST_POPULAR_GENOTYPE,AVG_ANIMALS_ENERGY,AVG_LENGTH_OF_LIFE,AVG_NUMBER_OF_CHILDREN
-,-,-,-,-,-,-,-,-
1,37,36,65,1504.0,SE     SE     S     E     N     W,33.06,0.0,0.06
2,38,37,94,1485.0,SE     SE     S     E     N     W,31.19,0.0,0.11
3,38,38,91,1470.0,SE     SE     S     E     N     W,29.87,0.0,0.16
4,40,39,120,1458.0,SE     SE     S     E     N     W,29.51,0.0,0.21
5,40,40,119,1444.0,SE     SE     S     E     N     W,28.25,0.0,0.25
6,40,39,133,1428.0,SE     SE     S     E     N     W,28.44,0.13,0.18
7,41,39,163,1413.0,SE     SE     S     E     N     W,27.9,0.12,0.18
8,42,40,173,1399.0,SE     SE     S     E     N     W,26.23,0.12,0.23
9,42,41,173,1388.0,SE     SE     S     E     N     W,26.8,0.12,0.27
10,42,41,184,1375.0,SE     SE     S     E     N     W,27.56,0.12,0.27
11,42,41,191,1368.0,SE     SE     S     E     N     W,30.07,0.12,0.27
12,43,41,198,1361.0,SE     SE     S     E     N     W,31.29,0.35,0.29
13,47,42,207,1349.0,SE     SE     S     E     N     W,30.88,0.53,0.36
14,47,44,222,1338.0,SW     SE     SE     S     E     W,30.98,0.53,0.43
15,49,45,230,1324.0,SW     SE     SE     S     E     W,30.51,0.51,0.47
16,49,43,257,1316.0,SE     SE     S     E     N     W,32.63,1.33,0.42
17,49,42,269,1302.0,SE     SE     S     E     N     W,33.69,1.49,0.36
18,49,42,273,1289.0,SE     SE     S     E     N     W,33.98,1.49,0.36
19,49,42,273,1287.0,SE     SE     S     E     N     W,37.69,1.49,0.36
20,50,43,281,1278.0,SE     SE     S     E     N     W,38.77,1.46,0.4
21,50,43,277,1272.0,SE     SE     S     E     N     W,42.37,1.46,0.4
22,50,43,281,1265.0,SE     SE     S     E     N     W,44.72,1.46,0.4
23,50,43,286,1261.0,SE     SE     S     E     N     W,48.33,1.46,0.4
24,50,42,293,1258.0,SE     SE     S     E     N     W,52.76,1.86,0.4
25,50,41,308,1251.0,SE     SE     S     E     N     W,56.56,2.26,0.41
26,50,38,305,1252.0,SE     SE     S     E     N     W,66.18,3.46,0.37
27,51,39,320,1243.0,SE     SE     S     E     N     W,65.82,3.39,0.41
28,54,40,306,1239.0,SE     SE     S     E     N     W,68.15,3.2,0.45
29,54,42,321,1241.0,SE     SE     S     E     N     W,71.67,3.2,0.52
30,55,43,321,1238.0,SE     S     E     NE     S     NW,75.3,3.15,0.56
31,56,44,324,1234.0,SE     S     E     NE     S     NW,77.52,3.09,0.59
32,56,44,325,1231.0,SE     S     E     NE     S     NW,82.25,3.09,0.59
33,57,45,329,1228.0,SE     S     E     NE     S     NW,83.84,3.04,0.62
34,58,45,323,1226.0,SE     S     E     NE     S     NW,88.44,2.98,0.62
35,58,46,331,1219.0,SE     S     E     NE     S     NW,88.28,2.98,0.65
36,58,43,346,1212.0,SE     S     E     NE     S     NW,96.37,4.79,0.7
